in_fill,time,lumi_inst,lumi_in_fill,lumi_since_last_point,lumi_last_fill,fill_num,time_in_fill,time_in_fill_stable,time_from_last_fill,last_dump_duration,last_fill_duration
1,1495541393,0.125839871,0.125839871,0.125839871,0.0,5697,0,0.0,0,0,0
0,1495542293,0.0,0.0,0.49361409199999995,0.49361409199999995,0,0,0.0,833,833,67
0,1495543193,0.0,0.0,0.0,0.49361409199999995,0,0,0.0,1733,1733,67
0,1495544093,0.0,0.0,0.0,0.49361409199999995,0,0,0.0,2633,2633,67
0,1495544993,0.0,0.0,0.0,0.49361409199999995,0,0,0.0,3533,3533,67
0,1495545893,0.0,0.0,0.0,0.49361409199999995,0,0,0.0,4433,4433,67
0,1495546793,0.0,0.0,0.0,0.49361409199999995,0,0,0.0,5333,5333,67
0,1495547693,0.0,0.0,0.0,0.49361409199999995,0,0,0.0,6233,6233,67
1,1495548593,0.121032343,0.25934128,0.25934128,0.49361409199999995,5698,23,0.0,7133,7110,67
1,1495549493,0.132809516,5.13134635,4.87200507,0.49361409199999995,5698,922,0.0,8033,7111,67
1,1495550393,203.314794845,12784.289482969998,12779.15813662,0.49361409199999995,5698,1832,420.0,8933,7101,67
1,1495551293,402.89159870599997,26783.754996765005,13999.465513794996,0.49361409199999995,5698,2721,1309.0,9833,7112,67
1,1495552193,390.71293845900004,42642.489642887005,15858.734646122,0.49361409199999995,5698,3636,2224.0,10733,7097,67
1,1495553093,379.987022495,57282.417319575,14639.927676688,0.49361409199999995,5698,4522,3110.0,11633,7111,67
1,1495553993,369.036396682,72258.35551431698,14975.938194742,0.49361409199999995,5698,5437,4025.0,12533,7096,67
1,1495554893,359.15783337,86465.10320339398,14206.747689076998,0.49361409199999995,5698,6334,4922.0,13433,7099,67
1,1495555793,350.88576318599996,100329.42193817695,13864.318734782997,0.49361409199999995,5698,7228,5816.0,14333,7105,67
1,1495556693,341.82122842,113843.14766838095,13513.725730203998,0.49361409199999995,5698,8122,6710.0,15233,7111,67
1,1495557593,333.559673448,126998.93868661995,13155.791018239,0.49361409199999995,5698,9018,7606.0,16133,7115,67
1,1495558493,326.86239514,139877.05820309094,12878.119516471,0.49361409199999995,5698,9926,8514.0,17033,7107,67
1,1495559393,317.185977323,152440.397213603,12563.339010512002,0.49361409199999995,5698,10836,9424.0,17933,7097,67
1,1495560293,309.638589733,164685.16559572495,12244.768382122,0.49361409199999995,5698,11726,10314.0,18833,7107,67
1,1495561193,304.259492124,176677.76306462297,11992.597468898,0.49361409199999995,5698,12635,11223.0,19733,7098,67
1,1495562093,294.280756416,188348.29503117898,11670.531966555998,0.49361409199999995,5698,13525,12113.0,20633,7108,67
1,1495562993,287.300012014,200253.29245106387,11904.997419885001,0.49361409199999995,5698,14438,13026.0,21533,7095,67
1,1495563893,280.77935813700003,208353.0979263178,8099.805475253999,0.49361409199999995,5698,15333,13921.0,22433,7100,67
1,1495564793,278.224873113,218985.01563502775,10631.91770871,0.49361409199999995,5698,16219,14807.0,23333,7114,67
1,1495565693,273.57726075,230004.72183067774,11019.70619565,0.49361409199999995,5698,17130,15718.0,24233,7103,67
1,1495566593,162.569883918,236184.87484901375,6180.153018336001,0.49361409199999995,5698,18021,16609.0,25133,7112,67
1,1495567493,166.034646133,242626.6502328898,6441.775383876,0.49361409199999995,5698,18931,17519.0,26033,7102,67
1,1495568393,163.026817658,249042.76764463185,6416.117411742001,0.49361409199999995,5698,19840,18428.0,26933,7093,67
1,1495569293,161.590235232,255215.09716770792,6335.356340734,0.49361409199999995,5698,20719,19307.0,27833,7114,67
1,1495570193,159.39185574,261481.2368948189,6266.139727110998,0.49361409199999995,5698,21624,20212.0,28733,7109,67
1,1495571093,156.936609414,267657.7125902729,6176.475695454,0.49361409199999995,5698,22521,21109.0,29633,7112,67
1,1495571993,155.537374886,273756.4170584077,6098.704468135001,0.49361409199999995,5698,23432,22020.0,30533,7101,67
1,1495572893,153.776443756,279791.05215344386,6034.635095035999,0.49361409199999995,5698,24330,22918.0,31433,7103,67
1,1495573793,152.715007621,285928.14176785585,6137.089614412,0.49361409199999995,5698,25237,23825.0,32333,7096,67
1,1495574693,149.923363448,291818.60304151,5890.461273654,0.49361409199999995,5698,26128,24716.0,33233,7105,67
1,1495575593,148.413785891,297790.0382580691,5971.435216559,0.49361409199999995,5698,27040,25628.0,34133,7093,67
1,1495576493,147.03303634899999,303563.032402542,5921.407930363999,0.49361409199999995,5698,27932,0.0,35033,7101,67
1,1495577393,156.295281547,309514.56726995815,5951.534867416001,0.49361409199999995,5698,28836,0.0,35933,7097,67
1,1495578293,150.534657382,315519.30471735424,6004.737447396001,0.49361409199999995,5698,29739,0.0,36833,7094,67
1,1495579193,148.92907572,321232.8930295254,5713.5883121709985,0.49361409199999995,5698,30626,0.0,37733,7107,67
1,1495580093,147.236760237,327008.42420777446,5775.531178248999,0.49361409199999995,5698,31536,0.0,38633,7097,67
1,1495580993,145.773167279,331784.7624382356,4776.338230460999,0.49361409199999995,5698,32420,0.0,39533,7113,67
0,1495581893,0.0,0.0,1011.7503932429998,332796.5128314786,0,0,0.0,776,776,32564
0,1495582793,0.0,0.0,0.0,332796.5128314786,0,0,0.0,1676,1676,32564
0,1495583693,0.0,0.0,0.0,332796.5128314786,0,0,0.0,2576,2576,32564
0,1495584593,0.0,0.0,0.0,332796.5128314786,0,0,0.0,3476,3476,32564
0,1495585493,0.0,0.0,0.0,332796.5128314786,0,0,0.0,4376,4376,32564
0,1495586393,0.0,0.0,0.0,332796.5128314786,0,0,0.0,5276,5276,32564
0,1495587293,0.0,0.0,0.13622320599999999,0.13622320599999999,0,0,0.0,258,258,0
1,1495588193,253.979173923,5617.595414483,5617.459191277,332796.5128314786,5699,1152,280.0,7076,5924,32564
1,1495589093,248.58622646900002,13775.800754756006,8158.205340273,332796.5128314786,5699,2037,1165.0,7976,5939,32564
1,1495589993,243.52291867099999,23619.50616236601,9843.70540761,332796.5128314786,5699,2952,2080.0,8876,5924,32564
1,1495590893,239.378858227,33040.15408524701,9420.647922881,332796.5128314786,5699,3838,2966.0,9776,5938,32564
1,1495591793,235.035764613,42289.23701651802,9249.082931271,332796.5128314786,5699,4747,3875.0,10676,5929,32564
1,1495592693,230.92638436,51373.06710652903,9083.830090011,332796.5128314786,5699,5646,4774.0,11576,5930,32564
1,1495593593,227.24935048,60309.50698757402,8936.439881045,332796.5128314786,5699,6553,5681.0,12476,5923,32564
1,1495594493,223.513582585,69099.48317650902,8789.976188935,332796.5128314786,5699,7448,6576.0,13376,5928,32564
1,1495595393,219.618552586,77707.89234015105,8608.409163642,332796.5128314786,5699,8349,7477.0,14276,5927,32564
1,1495596293,216.603221185,86208.74522829606,8500.852888145,332796.5128314786,5699,9246,8374.0,15176,5930,32564
1,1495597193,213.089450971,94795.95797072505,8587.212742429001,332796.5128314786,5699,10157,9285.0,16076,5919,32564
1,1495598093,209.772890993,103043.87913785102,8247.921167126,332796.5128314786,5699,11046,10174.0,16976,5930,32564
1,1495598993,206.402198795,111160.51895553006,8116.639817679,332796.5128314786,5699,11940,11068.0,17876,5936,32564
1,1495599893,203.427638849,119152.45160962504,7991.9326540950005,332796.5128314786,5699,12850,11978.0,18776,5926,32564
1,1495600793,200.76689016400002,127030.78645451006,7878.334844885,332796.5128314786,5699,13753,12881.0,19676,5923,32564
1,1495601693,197.664013514,134604.23118358103,7573.4447290709995,332796.5128314786,5699,14636,13764.0,20576,5940,32564
0,1495602593,0.0,0.0,5482.3471161590005,140086.57829974004,0,0,0.0,270,270,15288
0,1495603493,0.0,0.0,0.0,140086.57829974004,0,0,0.0,1170,1170,15288
0,1495604393,0.0,0.0,0.0,140086.57829974004,0,0,0.0,2070,2070,15288
0,1495605293,0.0,0.0,0.0,140086.57829974004,0,0,0.0,2970,2970,15288
0,1495606193,0.0,0.0,0.0,140086.57829974004,0,0,0.0,3870,3870,15288
0,1495607093,0.0,0.0,0.0,140086.57829974004,0,0,0.0,4770,4770,15288
0,1495607993,0.0,0.0,0.0,140086.57829974004,0,0,0.0,5670,5670,15288
0,1495608893,0.0,0.0,0.0,140086.57829974004,0,0,0.0,6570,6570,15288
0,1495609793,0.0,0.0,0.0,140086.57829974004,0,0,0.0,7470,7470,15288
0,1495610693,0.0,0.0,0.0,140086.57829974004,0,0,0.0,8370,8370,15288
0,1495611593,0.0,0.0,0.0,140086.57829974004,0,0,0.0,9270,9270,15288
1,1495612493,0.053265899000000005,0.165140865,0.11187496599999999,140086.57829974004,5700,707,0.0,10170,9463,15288
0,1495613393,0.0,0.0,0.117383122,0.229258088,0,0,0.0,847,847,759
0,1495614293,0.0,0.0,0.0,0.229258088,0,0,0.0,1747,1747,759
0,1495615193,0.0,0.0,0.0,0.229258088,0,0,0.0,2647,2647,759
1,1495616093,0.021893782,0.27422399399999997,0.044965906,140086.57829974004,5700,4304,0.0,13770,9466,15288
0,1495616993,0.0,0.0,0.0,0.27422399399999997,0,0,0.0,902,902,4304
0,1495617893,0.0,0.0,0.0,0.27422399399999997,0,0,0.0,1802,1802,4304
0,1495618793,0.0,0.0,0.11520493400000001,0.38942892799999995,0,0,0.0,332,332,6674
0,1495619693,0.0,0.0,318.392397773,318.781826701,0,0,0.0,441,441,7465
0,1495620593,0.0,0.0,0.0,318.781826701,0,0,0.0,1341,1341,7465
0,1495621493,0.0,0.0,0.0,318.781826701,0,0,0.0,2241,2241,7465
0,1495622393,0.0,0.0,0.0,318.781826701,0,0,0.0,3141,3141,7465
0,1495623293,0.0,0.0,0.0,318.781826701,0,0,0.0,4041,4041,7465
0,1495624193,0.0,0.0,0.0,318.781826701,0,0,0.0,4941,4941,7465
0,1495625093,0.0,0.0,0.0,318.781826701,0,0,0.0,5841,5841,7465
0,1495625993,0.0,0.0,0.0,318.781826701,0,0,0.0,6741,6741,7465
0,1495626893,0.0,0.0,0.0,318.781826701,0,0,0.0,7641,7641,7465
0,1495627793,0.0,0.0,0.0,318.781826701,0,0,0.0,8541,8541,7465
0,1495628693,0.0,0.0,0.0,318.781826701,0,0,0.0,9441,9441,7465
0,1495629593,0.0,0.0,0.0,318.781826701,0,0,0.0,10341,10341,7465
0,1495630493,0.0,0.0,0.0,318.781826701,0,0,0.0,11241,11241,7465
0,1495631393,0.0,0.0,0.0,318.781826701,0,0,0.0,12141,12141,7465
0,1495632293,0.0,0.0,0.0,318.781826701,0,0,0.0,13041,13041,7465
0,1495633193,0.0,0.0,0.0,318.781826701,0,0,0.0,13941,13941,7465
0,1495634093,0.0,0.0,0.0,318.781826701,0,0,0.0,14841,14841,7465
0,1495634993,0.0,0.0,0.0,318.781826701,0,0,0.0,15741,15741,7465
0,1495635893,0.0,0.0,0.0,318.781826701,0,0,0.0,16641,16641,7465
0,1495636793,0.0,0.0,0.0,318.781826701,0,0,0.0,17541,17541,7465
0,1495637693,0.0,0.0,0.0,318.781826701,0,0,0.0,18441,18441,7465
0,1495638593,0.0,0.0,0.0,318.781826701,0,0,0.0,19341,19341,7465
0,1495639493,0.0,0.0,0.0,318.781826701,0,0,0.0,20241,20241,7465
0,1495640393,0.0,0.0,0.0,318.781826701,0,0,0.0,21141,21141,7465
0,1495641293,0.0,0.0,0.0,318.781826701,0,0,0.0,22041,22041,7465
0,1495642193,0.0,0.0,0.0,318.781826701,0,0,0.0,22941,22941,7465
0,1495643093,0.0,0.0,0.0,318.781826701,0,0,0.0,23841,23841,7465
0,1495643993,0.0,0.0,0.0,318.781826701,0,0,0.0,24741,24741,7465
0,1495644893,0.0,0.0,0.0,318.781826701,0,0,0.0,25641,25641,7465
0,1495645793,0.0,0.0,0.0,318.781826701,0,0,0.0,26541,26541,7465
0,1495646693,0.0,0.0,0.0,318.781826701,0,0,0.0,27441,27441,7465
0,1495647593,0.0,0.0,0.0,318.781826701,0,0,0.0,28341,28341,7465
0,1495648493,0.0,0.0,0.0,318.781826701,0,0,0.0,29241,29241,7465
0,1495649393,0.0,0.0,0.0,318.781826701,0,0,0.0,30141,30141,7465
0,1495650293,0.0,0.0,0.0,318.781826701,0,0,0.0,31041,31041,7465
0,1495651193,0.0,0.0,0.0,318.781826701,0,0,0.0,31941,31941,7465
0,1495652093,0.0,0.0,0.0,318.781826701,0,0,0.0,32841,32841,7465
0,1495652993,0.0,0.0,0.0,318.781826701,0,0,0.0,33741,33741,7465
0,1495653893,0.0,0.0,0.0,318.781826701,0,0,0.0,34641,34641,7465
0,1495654793,0.0,0.0,0.0,318.781826701,0,0,0.0,35541,35541,7465
0,1495655693,0.0,0.0,0.0,318.781826701,0,0,0.0,36441,36441,7465
0,1495656593,0.0,0.0,0.0,318.781826701,0,0,0.0,37341,37341,7465
0,1495657493,0.0,0.0,0.0,318.781826701,0,0,0.0,38241,38241,7465
0,1495658393,0.0,0.0,0.0,318.781826701,0,0,0.0,39141,39141,7465
