in_fill,time,lumi_inst,lumi_in_fill,lumi_since_last_point,lumi_last_fill,fill_num,time_in_fill,time_in_fill_stable,time_from_last_fill,last_dump_duration,last_fill_duration
1,1495541393,0.125839871,0.125839871,0.125839871,0.0,5697,0,0.0,0,0,0
0,1495541993,0.0,0.0,0.493614092,0.493614092,0,0,0.0,533,533,67
0,1495542593,0.0,0.0,0.0,0.493614092,0,0,0.0,1133,1133,67
0,1495543193,0.0,0.0,0.0,0.493614092,0,0,0.0,1733,1733,67
0,1495543793,0.0,0.0,0.0,0.493614092,0,0,0.0,2333,2333,67
0,1495544393,0.0,0.0,0.0,0.493614092,0,0,0.0,2933,2933,67
0,1495544993,0.0,0.0,0.0,0.493614092,0,0,0.0,3533,3533,67
0,1495545593,0.0,0.0,0.0,0.493614092,0,0,0.0,4133,4133,67
0,1495546193,0.0,0.0,0.0,0.493614092,0,0,0.0,4733,4733,67
0,1495546793,0.0,0.0,0.0,0.493614092,0,0,0.0,5333,5333,67
0,1495547393,0.0,0.0,0.0,0.493614092,0,0,0.0,5933,5933,67
0,1495547993,0.0,0.0,0.0,0.493614092,0,0,0.0,6533,6533,67
1,1495548593,0.121032343,0.25934128,0.25934128,0.493614092,5698,23,0.0,7133,7110,67
1,1495549193,0.113640061,3.455733356,3.1963920760000004,0.493614092,5698,619,0.0,7733,7114,67
1,1495549793,305.27404330900004,2365.395921988,2361.940188632,0.493614092,5698,1225,0.0,8333,7108,67
1,1495550393,203.314794845,12784.289482969998,10418.893560982,0.493614092,5698,1832,420.0,8933,7101,67
1,1495550993,405.498037324,21532.564821539003,8748.275338569,0.493614092,5698,2418,1006.0,9533,7115,67
1,1495551593,399.64224271300003,31985.78173377,10453.216912231,0.493614092,5698,3024,1612.0,10133,7109,67
1,1495552193,390.71293845900004,42642.489642887005,10656.707909117002,0.493614092,5698,3636,2224.0,10733,7097,67
1,1495552793,384.21658294699995,52320.52724741901,9678.037604531999,0.493614092,5698,4219,2807.0,11333,7114,67
1,1495553393,375.827178118,62571.748012353986,10251.220764934998,0.493614092,5698,4831,3419.0,11933,7102,67
1,1495553993,369.036396682,72258.35551431698,9686.607501963,0.493614092,5698,5437,4025.0,12533,7096,67
1,1495554593,362.470547404,81772.94896066899,9514.593446351999,0.493614092,5698,6031,4619.0,13133,7102,67
1,1495555193,357.18366353199997,91123.68960059596,9350.740639927,0.493614092,5698,6622,5210.0,13733,7111,67
1,1495555793,350.88576318599996,100329.42193817695,9205.732337581,0.493614092,5698,7228,5816.0,14333,7105,67
1,1495556393,344.86574898099997,109378.20218252596,9048.780244349,0.493614092,5698,7819,6407.0,14933,7114,67
1,1495556993,338.824904432,118263.61289779893,9214.348630885,0.493614092,5698,8425,7013.0,15533,7108,67
1,1495557593,333.559673448,126998.93868661993,8406.387873209,0.493614092,5698,9018,7606.0,16133,7115,67
1,1495558193,328.79852792400004,135617.16981372595,8618.231127105999,0.493614092,5698,9623,8211.0,16733,7110,67
1,1495558793,323.78697364,144104.97316868894,8487.803354963,0.493614092,5698,10229,8817.0,17333,7104,67
1,1495559393,317.185977323,152440.39721360302,8335.424044914002,0.493614092,5698,10836,9424.0,17933,7097,67
1,1495559993,313.19224216599997,160320.809112889,7880.4118992859985,0.493614092,5698,11419,10007.0,18533,7114,67
1,1495560593,309.215580333,168710.12479536893,8389.315682479999,0.493614092,5698,12029,10617.0,19133,7104,67
1,1495561193,304.259492124,176677.76306462297,7967.638269253999,0.493614092,5698,12635,11223.0,19733,7098,67
1,1495561793,296.054670386,184510.840550042,7833.077485419,0.493614092,5698,13222,11810.0,20333,7111,67
1,1495562393,290.95681578200004,192444.46795656797,7642.670590744002,0.493614092,5698,13841,12429.0,20933,7092,67
1,1495562993,287.300012014,200253.29245106387,8099.781310278,0.493614092,5698,14438,13026.0,21533,7095,67
1,1495563593,170.884126103,205605.12349397785,5351.831042914,0.493614092,5698,15019,13607.0,22133,7114,67
1,1495564193,280.601800009,212012.41418591182,6407.290691934,0.493614092,5698,15636,14224.0,22733,7097,67
1,1495564793,278.224873113,218985.01563502772,6972.6014491159995,0.493614092,5698,16219,14807.0,23333,7114,67
1,1495565393,274.74633886099997,226439.94161371773,7454.925978690001,0.493614092,5698,16827,15415.0,23933,7106,67
1,1495565993,164.277027406,231923.4778157897,5483.536202072,0.493614092,5698,17433,16021.0,24533,7100,67
1,1495566593,162.569883918,236184.87484901372,4261.397033224001,0.493614092,5698,18021,16609.0,25133,7112,67
1,1495567193,167.227766952,240460.1741034868,4275.299254473,0.493614092,5698,18627,17215.0,25733,7106,67
1,1495567793,164.95538082299998,244776.80575353684,4316.63165005,0.493614092,5698,19234,17822.0,26333,7099,67
1,1495568393,163.026817658,249042.76764463182,4265.961891095,0.493614092,5698,19840,18428.0,26933,7093,67
1,1495568993,162.135881343,253110.6191481459,4230.878321172,0.493614092,5698,20423,19011.0,27533,7110,67
1,1495569593,160.89246313200002,257313.17459132196,4202.555443176,0.493614092,5698,21022,19610.0,28133,7111,67
1,1495570193,159.39185574,261481.2368948189,4168.062303497,0.493614092,5698,21624,20212.0,28733,7109,67
1,1495570793,157.51176703299998,265611.41132372577,4130.174428907,0.493614092,5698,22230,20818.0,29333,7103,67
1,1495571393,156.756072346,269694.7545572169,4083.343233491,0.493614092,5698,22824,21412.0,29933,7109,67
1,1495571993,155.537374886,273756.4170584077,4061.6625011909996,0.493614092,5698,23432,22020.0,30533,7101,67
1,1495572593,154.532271829,277786.23802059074,4029.8209621829997,0.493614092,5698,24038,22626.0,31133,7095,67
1,1495573193,154.035778219,281793.7272966309,4007.48927604,0.493614092,5698,24633,23221.0,31733,7100,67
1,1495573793,152.715007621,285928.14176785585,4134.414471225,0.493614092,5698,25237,23825.0,32333,7096,67
1,1495574393,150.703145307,289865.8102502229,3937.6684823670003,0.493614092,5698,25825,24413.0,32933,7108,67
1,1495574993,149.59934820799998,293916.2822653989,4050.472015176,0.493614092,5698,26434,25022.0,33533,7099,67
1,1495575593,148.413785891,297790.0382580691,3873.75599267,0.493614092,5698,27040,25628.0,34133,7093,67
1,1495576193,147.647053567,301647.8922163191,4006.2677441409996,0.493614092,5698,27629,0.0,34733,7104,67
1,1495576793,152.979288457,305564.1108897691,3916.21867345,0.493614092,5698,28230,0.0,35333,7103,67
1,1495577393,156.295281547,309514.5672699581,3950.4563801890004,0.493614092,5698,28836,0.0,35933,7097,67
