transp_entry,time,bfield,fill_num,fill_time_start,fill_time_stable_start,time_in_fill,time_in_fill_stable,run_in_fill,in_fill
1,1493640842,0.0,0,0,0,0.0,0.0,0,0
2,1493641552,0.0,0,0,0,0.0,0.0,0,0
3,1493644224,0.0,0,0,0,0.0,0.0,0,0
4,1493646904,0.0,0,0,0,0.0,0.0,0,0
5,1493649597,0.0,0,0,0,0.0,0.0,0,0
6,1493652268,0.0,0,0,0,0.0,0.0,0,0
7,1493654940,0.0,0,0,0,0.0,0.0,0,0
8,1493657612,0.0,0,0,0,0.0,0.0,0,0
9,1493660912,0.0,0,0,0,0.0,0.0,0,0
10,1493662781,0.0,0,0,0,0.0,0.0,0,0
11,1493668400,0.0,0,0,0,0.0,0.0,0,0
12,1493670106,0.0,0,0,0,0.0,0.0,0,0
13,1493672797,0.0,0,0,0,0.0,0.0,0,0
14,1493675476,0.0,0,0,0,0.0,0.0,0,0
15,1493678160,0.0,0,0,0,0.0,0.0,0,0
16,1493680838,0.0,0,0,0,0.0,0.0,0,0
17,1493682436,0.0,0,0,0,0.0,0.0,0,0
18,1493685113,0.0,0,0,0,0.0,0.0,0,0
19,1493687791,0.0,0,0,0,0.0,0.0,0,0
20,1493691007,0.0,0,0,0,0.0,0.0,0,0
21,1493693685,0.0,0,0,0,0.0,0.0,0,0
22,1493693964,0.0,0,0,0,0.0,0.0,0,0
23,1493696637,0.0,0,0,0,0.0,0.0,0,0
24,1493697350,0.0,0,0,0,0.0,0.0,0,0
25,1493700021,0.0,0,0,0,0.0,0.0,0,0
26,1493702693,0.0,0,0,0,0.0,0.0,0,0
27,1494105031,0.0,0,0,0,0.0,0.0,0,0
28,1494107696,0.0,0,0,0,0.0,0.0,0,0
29,1494110361,0.0,0,0,0,0.0,0.0,0,0
30,1494113026,0.0,0,0,0,0.0,0.0,0,0
31,1494115691,0.0,0,0,0,0.0,0.0,0,0
32,1494118356,0.0,0,0,0,0.0,0.0,0,0
33,1494121024,0.0,0,0,0,0.0,0.0,0,0
34,1494123688,0.0,0,0,0,0.0,0.0,0,0
35,1494126437,0.0,0,0,0,0.0,0.0,0,0
36,1494129027,0.0,0,0,0,0.0,0.0,0,0
37,1494131959,0.0,0,0,0,0.0,0.0,0,0
38,1494134693,0.0,0,0,0,0.0,0.0,0,0
39,1494137359,0.0,0,0,0,0.0,0.0,0,0
40,1494140026,0.0,0,0,0,0.0,0.0,0,0
41,1494142692,0.0,0,0,0,0.0,0.0,0,0
42,1494145359,0.0,0,0,0,0.0,0.0,0,0
43,1494146933,0.0,0,0,0,0.0,0.0,0,0
44,1494148931,0.0,0,0,0,0.0,0.0,0,0
45,1494150903,0.0,0,0,0,0.0,0.0,0,0
46,1494152305,0.0,0,0,0,0.0,0.0,0,0
47,1494154969,0.0,0,0,0,0.0,0.0,0,0
48,1494157633,0.0,0,0,0,0.0,0.0,0,0
49,1494165060,0.0,0,0,0,0.0,0.0,0,0
50,1494165771,0.0,0,0,0,0.0,0.0,0,0
51,1494167281,0.0,0,0,0,0.0,0.0,0,0
52,1494167701,0.0,0,0,0,0.0,0.0,0,0
53,1494170449,0.0,0,0,0,0.0,0.0,0,0
54,1494170997,0.0,0,0,0,0.0,0.0,0,0
55,1494173742,0.0,0,0,0,0.0,0.0,0,0
56,1494176011,0.0,0,0,0,0.0,0.0,0,0
57,1494177227,0.0,0,0,0,0.0,0.0,0,0
58,1494178315,0.0,0,0,0,0.0,0.0,0,0
59,1494181063,0.0,0,0,0,0.0,0.0,0,0
60,1494183870,0.0,0,0,0,0.0,0.0,0,0
61,1494186582,0.0,0,0,0,0.0,0.0,0,0
62,1494189291,0.0,0,0,0,0.0,0.0,0,0
63,1494190667,0.0,0,0,0,0.0,0.0,0,0
64,1494193338,0.0,0,0,0,0.0,0.0,0,0
65,1494196010,0.0,0,0,0,0.0,0.0,0,0
66,1494196987,0.0,0,0,0,0.0,0.0,0,0
67,1494199869,0.0,0,0,0,0.0,0.0,0,0
68,1494202691,0.0,0,0,0,0.0,0.0,0,0
69,1494205372,0.0,0,0,0,0.0,0.0,0,0
70,1494208050,0.0,0,0,0,0.0,0.0,0,0
71,1494210726,0.0,0,0,0,0.0,0.0,0,0
72,1494213401,0.0,0,0,0,0.0,0.0,0,0
73,1494216075,0.0,0,0,0,0.0,0.0,0,0
74,1494218749,0.0,0,0,0,0.0,0.0,0,0
75,1494221422,0.0,0,0,0,0.0,0.0,0,0
76,1494224094,0.0,0,0,0,0.0,0.0,0,0
77,1494226766,0.0,0,0,0,0.0,0.0,0,0
78,1494229441,0.0,0,0,0,0.0,0.0,0,0
79,1494232113,0.0,0,0,0,0.0,0.0,0,0
80,1494237803,0.0,0,0,0,0.0,0.0,0,0
81,1494238213,0.0,0,0,0,0.0,0.0,0,0
82,1494240973,0.0,0,0,0,0.0,0.0,0,0
83,1494249361,0.0,0,0,0,0.0,0.0,0,0
84,1494249738,0.0,0,0,0,0.0,0.0,0,0
85,1494251507,0.0,0,0,0,0.0,0.0,0,0
86,1494252543,0.0,0,0,0,0.0,0.0,0,0
87,1494253050,0.0,0,0,0,0.0,0.0,0,0
88,1494255494,0.0,0,0,0,0.0,0.0,0,0
89,1494256307,0.0,0,0,0,0.0,0.0,0,0
90,1494259175,0.0,0,0,0,0.0,0.0,0,0
91,1494260755,0.0,0,0,0,0.0,0.0,0,0
92,1494261163,0.0,0,0,0,0.0,0.0,0,0
93,1494261982,0.0,0,0,0,0.0,0.0,0,0
94,1494262385,0.0,0,0,0,0.0,0.0,0,0
95,1494262938,0.0,0,0,0,0.0,0.0,0,0
96,1494264912,0.0,0,0,0,0.0,0.0,0,0
97,1494267576,0.0,0,0,0,0.0,0.0,0,0
98,1494278092,0.0,0,0,0,0.0,0.0,0,0
99,1494278880,0.0,0,0,0,0.0,0.0,0,0
100,1494279555,0.0,0,0,0,0.0,0.0,0,0
101,1494282039,0.0,0,0,0,0.0,0.0,0,0
102,1494284704,0.0,0,0,0,0.0,0.0,0,0
103,1494287368,0.0,0,0,0,0.0,0.0,0,0
104,1494290033,0.0,0,0,0,0.0,0.0,0,0
105,1494292697,0.0,0,0,0,0.0,0.0,0,0
106,1494295405,0.0,0,0,0,0.0,0.0,0,0
107,1494298079,0.0,0,0,0,0.0,0.0,0,0
108,1494300743,0.0,0,0,0,0.0,0.0,0,0
109,1494303407,0.0,0,0,0,0.0,0.0,0,0
110,1494304189,0.0,0,0,0,0.0,0.0,0,0
111,1494306858,0.0,0,0,0,0.0,0.0,0,0
112,1494309527,0.0,0,0,0,0.0,0.0,0,0
113,1494331411,0.0,0,0,0,0.0,0.0,0,0
114,1494332132,0.0,0,0,0,0.0,0.0,0,0
115,1494332599,0.0,0,0,0,0.0,0.0,0,0
116,1494350059,0.0,0,0,0,0.0,0.0,0,0
117,1494350582,0.0,0,0,0,0.0,0.0,0,0
118,1494359005,0.0,0,0,0,0.0,0.0,0,0
119,1494359716,0.0,0,0,0,0.0,0.0,0,0
120,1494361956,0.0,0,0,0,0.0,0.0,0,0
121,1494364657,0.0,0,0,0,0.0,0.0,0,0
122,1494367248,0.0,0,0,0,0.0,0.0,0,0
123,1494369923,0.0,0,0,0,0.0,0.0,0,0
124,1494372595,0.0,0,0,0,0.0,0.0,0,0
125,1494375267,0.0,0,0,0,0.0,0.0,0,0
126,1494377938,0.0,0,0,0,0.0,0.0,0,0
127,1494380610,0.0,0,0,0,0.0,0.0,0,0
128,1494383282,0.0,0,0,0,0.0,0.0,0,0
129,1494386015,0.0,0,0,0,0.0,0.0,0,0
130,1494387761,0.0,0,0,0,0.0,0.0,0,0
131,1494389743,0.0,0,0,0,0.0,0.0,0,0
132,1494392630,0.0,0,0,0,0.0,0.0,0,0
133,1494393336,0.0,0,0,0,0.0,0.0,0,0
134,1494396010,0.0,0,0,0,0.0,0.0,0,0
135,1494396744,0.0,0,0,0,0.0,0.0,0,0
136,1494399416,0.0,0,0,0,0.0,0.0,0,0
137,1494400937,0.0,0,0,0,0.0,0.0,0,0
138,1494403609,0.0,0,0,0,0.0,0.0,0,0
139,1494406071,0.0,0,0,0,0.0,0.0,0,0
140,1494408393,0.0,0,0,0,0.0,0.0,0,0
141,1494411872,0.0,0,0,0,0.0,0.0,0,0
142,1494414543,0.0,0,0,0,0.0,0.0,0,0
143,1494415224,0.0,0,0,0,0.0,0.0,0,0
144,1494418614,0.0,0,0,0,0.0,0.0,0,0
145,1494421340,0.0,0,0,0,0.0,0.0,0,0
146,1494421833,0.0,0,0,0,0.0,0.0,0,0
147,1494422786,0.0,0,0,0,0.0,0.0,0,0
148,1494423867,0.0,0,0,0,0.0,0.0,0,0
149,1494426545,0.0,0,0,0,0.0,0.0,0,0
150,1494429223,0.0,0,0,0,0.0,0.0,0,0
151,1494431901,0.0,0,0,0,0.0,0.0,0,0
152,1494438490,0.0,0,0,0,0.0,0.0,0,0
153,1494440937,0.0,0,0,0,0.0,0.0,0,0
154,1494443612,0.0,0,0,0,0.0,0.0,0,0
155,1494446369,0.0,0,0,0,0.0,0.0,0,0
156,1494449042,0.0,0,0,0,0.0,0.0,0,0
157,1494451713,0.0,0,0,0,0.0,0.0,0,0
158,1494454385,0.0,0,0,0,0.0,0.0,0,0
159,1494457057,0.0,0,0,0,0.0,0.0,0,0
160,1494459729,0.0,0,0,0,0.0,0.0,0,0
161,1494462401,0.0,0,0,0,0.0,0.0,0,0
162,1494465073,0.0,0,0,0,0.0,0.0,0,0
163,1494467745,0.0,0,0,0,0.0,0.0,0,0
164,1494470417,0.0,0,0,0,0.0,0.0,0,0
165,1494473090,0.0,0,0,0,0.0,0.0,0,0
166,1494475762,0.0,0,0,0,0.0,0.0,0,0
167,1494478437,0.0,0,0,0,0.0,0.0,0,0
168,1494481110,0.0,0,0,0,0.0,0.0,0,0
169,1494483715,0.0,0,0,0,0.0,0.0,0,0
170,1494486319,0.0,0,0,0,0.0,0.0,0,0
171,1494487868,0.0,0,0,0,0.0,0.0,0,0
172,1494488258,0.0,0,0,0,0.0,0.0,0,0
173,1494490145,0.0,0,0,0,0.0,0.0,0,0
174,1494500019,0.0,0,0,0,0.0,0.0,0,0
175,1494501000,0.0,0,0,0,0.0,0.0,0,0
176,1494503678,0.0,0,0,0,0.0,0.0,0,0
177,1494506356,0.0,0,0,0,0.0,0.0,0,0
178,1494509030,0.0,0,0,0,0.0,0.0,0,0
179,1494511709,0.0,0,0,0,0.0,0.0,0,0
180,1494514386,0.0,0,0,0,0.0,0.0,0,0
181,1494514645,0.0,0,0,0,0.0,0.0,0,0
182,1494518514,0.0,0,0,0,0.0,0.0,0,0
183,1494520062,0.0,0,0,0,0.0,0.0,0,0
184,1494521716,0.0,0,0,0,0.0,0.0,0,0
185,1494522184,0.0,0,0,0,0.0,0.0,0,0
186,1494523002,0.0,0,0,0,0.0,0.0,0,0
187,1494523643,0.0,0,0,0,0.0,0.0,0,0
188,1494523840,0.0,0,0,0,0.0,0.0,0,0
189,1494525041,0.0,0,0,0,0.0,0.0,0,0
190,1494525973,0.0,0,0,0,0.0,0.0,0,0
191,1494528645,0.0,0,0,0,0.0,0.0,0,0
192,1494531317,0.0,0,0,0,0.0,0.0,0,0
193,1494533989,0.0,0,0,0,0.0,0.0,0,0
194,1494536767,0.0,0,0,0,0.0,0.0,0,0
195,1494540062,0.0,0,0,0,0.0,0.0,0,0
196,1494542734,0.0,0,0,0,0.0,0.0,0,0
197,1494547068,0.0,0,0,0,0.0,0.0,0,0
198,1494547556,0.0,0,0,0,0.0,0.0,0,0
199,1494548949,0.0,0,0,0,0.0,0.0,0,0
200,1494551621,0.0,0,0,0,0.0,0.0,0,0
201,1494554292,0.0,0,0,0,0.0,0.0,0,0
202,1494556964,0.0,0,0,0,0.0,0.0,0,0
203,1494559636,0.0,0,0,0,0.0,0.0,0,0
204,1494562308,0.0,0,0,0,0.0,0.0,0,0
205,1494564980,0.0,0,0,0,0.0,0.0,0,0
206,1494567652,0.0,0,0,0,0.0,0.0,0,0
207,1494570324,0.0,0,0,0,0.0,0.0,0,0
208,1494573482,0.0,0,0,0,0.0,0.0,0,0
209,1494576799,0.0,0,0,0,0.0,0.0,0,0
210,1494584485,0.0,0,0,0,0.0,0.0,0,0
211,1494585184,0.0,0,0,0,0.0,0.0,0,0
212,1494586559,0.0,0,0,0,0.0,0.0,0,0
213,1494587185,0.0,0,0,0,0.0,0.0,0,0
214,1494587532,0.0,0,0,0,0.0,0.0,0,0
215,1494588116,0.0,0,0,0,0.0,0.0,0,0
216,1494592840,0.0,0,0,0,0.0,0.0,0,0
217,1494595045,0.0,0,0,0,0.0,0.0,0,0
218,1494596071,0.0,0,0,0,0.0,0.0,0,0
219,1494598122,0.0,0,0,0,0.0,0.0,0,0
220,1494619399,0.0,0,0,0,0.0,0.0,0,0
221,1494639235,0.0,0,0,0,0.0,0.0,0,0
222,1494660600,0.0,0,0,0,0.0,0.0,0,0
223,1494665559,0.0,0,0,0,0.0,0.0,0,0
224,1494667070,0.0,0,0,0,0.0,0.0,0,0
225,1494669329,0.0,0,0,0,0.0,0.0,0,0
226,1494669871,0.0,0,0,0,0.0,0.0,0,0
227,1494672727,0.0,0,0,0,0.0,0.0,0,0
228,1494673433,0.0,0,0,0,0.0,0.0,0,0
229,1494676151,0.0,0,0,0,0.0,0.0,0,0
230,1494678828,0.0,0,0,0,0.0,0.0,0,0
231,1494681833,0.0,0,0,0,0.0,0.0,0,0
